"","01_Liberal politics","02_Republican politics","03_Maritime Trade and Slavery","04_Government Proceedings and Agreements","05_Human Interaction and Decision-Making","06_Educational Institutions and Knowledge Advancement","07_Literary Works and Print Publications","08_Financial Transactions and Government Budgeting","09_Diplomatic Correspondence and Government Relations","10_Military Operations and Strategic Defense","11_Business Endeavors and Personal Relationships","12_Land Ownership and Property Rights","13_Political Governance and Legislative Proceedings","14_Financial Transactions and Monetary Matters","15_Professional Appointments and Recommendations","16_Military Service and Officer Hierarchy","17_Military Logistics and Operational Supplies","18_Social Etiquette and Personal Relations","19_Government Relations and Negotiation Strategies","20_Agricultural Practices and Crop Management","21_International Relations and Diplomacy","22_Transportation and Infrastructure Development","23_Maritime Operations and Naval Affairs","24_Family Relationships and Domestic Life","25_Mail and Package Handling","26_Financial Transactions and Economic Indicators","27_Emotions and Philosophical Reflections on Life","28_French words","29_Health, Travel, and Seasonal Experiences","30_Courtesy","31_Legal Proceedings and Judicial System"
"1","power","nation","trade","commissioner","idea","country","book","account","enclosure","enemy","business","land","state","money","office","officer","order","honor","view","seed","minister","water","ship","child","wine","price","life","le","health","friend","court"
"2","law","citizen","vessel","prisoner","conduct","institution","volume","certificate","government","force","respect","river","member","loan","appointment","service","supply","situation","communication","wheat","court","foot","board","son","order","money","friend","est","return","pleasure","trial"
"3","duty","inhabitant","port","order","sentiment","plan","history","dollar","note","troop","yr","claim","vote","payment","recommendation","regiment","provision","application","consideration","farm","war","experiment","vessel","father","care","debt","heart","à","road","respect","charge"
"4","right","government","treaty","state","mind","society","publication","expences","consul","army","doubt","property","election","debt","friend","company","horse","service","respect","house","treaty","machine","order","family","box","bank","mind","cette","journey","honor","evidence"
"5","liberty","country","slave","term","view","school","pamphlet","sum","dna","expedition","hope","acre","session","sum","service","army","numb","request","arrangement","grind","affair","navigation","port","sister","packet","sale","happiness","son","hope","honour","proceeding"
"6","authority","virtue","commerce","instruction","friend","science","author","money","dispatch","intelligence","friend","settlement","convention","account","application","order","return","necessity","government","plant","country","end","frigate","friend","conveyance","dollar","age","votre","fever","attention","order"
"7","constitution","war","merchant","proposition","doubt","improvement","print","office","claim","state","pleasure","lot","house","bond","business","rank","store","attention","party","season","friend","house","prize","home","receipt","state","nature","fait","family","friendship","officer"
"8","tax","peace","ship","proposal","conversation","view","language","compensation","agent","militia","power","possession","party","order","confidence","command","party","business","grind","price","assembly","distance","fleet","mother","mail","fund","feeling","ces","house","sentiment","conduct"
"9","freedom","republic","country","honour","influence","professor","note","expense","document","quarter","loss","territory","resolution","credit","commission","pay","officer","respect","relation","grain","peace","inch","sail","house","respect","sum","father","sur","season","opportunity","complaint"
"10","consent","state","property","respect","motive","establishment","edition","statement","treaty","operation","state","estate","majority","draft","knowledge","arrangement","quantity","exertion","disposition","quantity","order","stone","privateer","daughter","charge","credit","family","sont","arrival","liberty","justice"
